IPO,IPO_Size,Subscription,GMP,IPO Price,Estimated Price,Estimated Percentage,Listing Price,Listing Percentage,LT Price,LT Percentage,Risk_Category,Listing_Year,Listing_Month,Risk_Category_Encoded
"ASK Automotive IPO (ASKAUTOLTD,544022)",-0.261078661,0.075133584,-0.428393529,-0.47711025,-0.533619625,-0.475898634,-0.538350152,-0.44834304,-0.59707287,-0.479080092,High,2023,11,2
Protean eGov Technologies IPO (544021),-0.392929356,-0.384590641,-0.318697073,0.92221579,0.588704919,-0.604016477,0.465047378,-0.644391154,0.610170506,-0.213452692,Low,2023,11,0
"ESAF Small Finance IPO (ESAFSFB,544020)",-0.403414646,0.510927882,-0.494211403,-1.086228644,-1.029136499,0.078285526,-1.014399695,-0.168422686,-0.931842199,-0.410827053,Medium,2023,11,1
"Honasa Consumer Limited IPO (HONASA,544014)",0.071718987,-0.658436632,-0.450332821,-0.361871635,-0.453151073,-0.559324206,-0.482947834,-0.596352874,-0.328961151,-0.164220992,Low,2023,11,0
"Cello World Limited IPO (CELLO,544012)",0.147897513,-0.084118393,0.295603082,0.527111967,0.520941927,0.012736862,0.540969072,0.080857034,0.124310595,-0.358909987,Medium,2023,11,1
"Blue Jet Healthcare IPO (BLUEJET,544009)",-0.258673144,-0.652706932,-0.461302466,-0.301508551,-0.410799203,-0.594084861,-0.38035095,-0.389139106,-0.478570453,-0.451107535,High,2023,11,2
"IRM Energy IPO (IRMENERGY,544004)",-0.371801478,-0.330832566,-0.483241758,0.134751921,-0.082572214,-0.686779941,-0.181312994,-0.78720766,-0.337848832,-0.565832314,High,2023,10,2
"Plaza Wires IPO (PLAZACABLE,544003)",-0.553699962,1.925995445,-0.455817643,-1.102691303,-1.027018906,0.605323268,-1.004140007,0.413489662,-0.86962843,0.256635449,Low,2023,10,0
"Valiant Laboratories IPO (VALIANTLAB,543998)",-0.522554853,-0.285163481,-0.472272112,-0.86672652,-0.851258647,-0.331559151,-0.827673366,-0.233598947,-0.760013694,-0.275589065,Low,2023,10,0
"Updater Services IPO (UDS,543996)",-0.33550772,-0.736798716,-0.581968568,-0.427722272,-0.55479556,-0.804635115,-0.57528503,-0.774224341,-0.635586156,-0.591567067,High,2023,10,2
"JSW Infrastructure IPO (JSWINFRA,543994)",0.493186966,-0.123383695,-0.417423884,-0.924345827,-0.874552175,0.029951662,-0.866660182,-0.120644073,-0.727425529,0.033227962,Low,2023,10,0
"Manoj Vaibhav Gems IPO (MVGJL,543995)",-0.47738332,-0.747415515,-0.581968568,-0.660943279,-0.734791006,-0.804635115,-0.718920668,-0.644391154,-0.521527579,-0.062624666,Low,2023,10,0
"Yatra Online IPO (YATRA,543992)",-0.283714303,-0.758706395,-0.581968568,-0.861238967,-0.88937533,-0.804635115,-0.897439247,-0.909510523,-0.838521545,-0.569412802,High,2023,9,2
"Sai Silks (Kalamandir) IPO (KALAMANDIR,543989)",-0.120277295,-0.711352104,-0.543574808,-0.641736843,-0.705144697,-0.70035315,-0.686089665,-0.539226271,-0.589666469,-0.254255328,Low,2023,9,0
"Signatureglobal India IPO (SIGNATURE,543990)",-0.300978775,-0.576030054,-0.307727427,-0.194501265,-0.26892044,-0.374596153,-0.249026938,-0.246582266,0.078390908,0.194499076,Low,2023,9,0
"SAMHI Hotels IPO (SAMHI,543984)",-0.055401243,-0.692814837,-0.538089986,-0.905139391,-0.906316077,-0.594415915,-0.885127621,-0.46911635,-0.779270336,-0.247168947,Low,2023,9,0
"Zaggle Prepaid Ocean IPO (ZAGGLE,543985)",-0.364903362,-0.569963312,-0.521635517,-0.800875883,-0.819494745,-0.582497976,-0.82356949,-0.644391154,-0.656324079,-0.104397017,Low,2023,9,0
"EMS IPO (EMSLIMITED,543983)",-0.457801571,0.497614753,-0.09930416,-0.671918385,-0.556913153,0.576190529,-0.581440843,0.229905534,-0.379324678,0.302361256,Low,2023,9,0
"R R Kabel IPO (RRKABEL,543981)",0.172455266,-0.471715796,-0.011546995,1.588953492,1.221865369,-0.471925987,1.261199201,-0.280598561,1.436724866,-0.05673178,Low,2023,9,0
"Jupiter Life Line IPO (JLHL,543980)",-0.247620045,0.305332737,0.695995148,0.765820527,0.859756884,0.244805616,0.836448099,0.196408572,0.530181374,-0.187270379,Low,2023,9,0
"Ratnaveer Precision Engineering IPO (RATNAVEER,543978)",-0.517732311,0.797244398,-0.296757782,-0.981965135,-0.872434582,0.951936658,-0.907698936,0.023211099,-0.857778188,-0.357194337,Medium,2023,9,1
"Rishabh Instruments IPO (RISHABH,543977)",-0.392756712,-0.253313086,-0.247394376,-0.040849778,-0.127041677,-0.346787629,-0.216195935,-0.532215279,-0.268228662,-0.385166894,Medium,2023,9,1
"Vishnu Prakash R IPO (VPRPL,543974)",-0.462543547,0.693267182,-0.241909554,-0.979221358,-0.849141054,1.268755201,-0.821517553,1.086804575,-0.712612727,0.366810026,Low,2023,9,0
"Aeroflex Industries IPO (AEROFLEX,543972)",-0.446384,0.849822829,-0.192546148,-0.954527369,-0.811024371,1.371712951,-0.770219111,1.327255639,-0.792601858,-0.136024655,Low,2023,8,0
"Pyramid Technoplast IPO (PYRAMID,543969)",-0.522328497,-0.478456621,-0.461302466,-0.795388329,-0.79196603,-0.365988753,-0.776374924,-0.315913188,-0.727425529,-0.332578487,Medium,2023,8,1
"TVS Supply Chain IPO (TVSSCS,543965)",-0.243430533,-0.738652443,-0.5655141,-0.710331256,-0.766554908,-0.754314929,-0.73533617,-0.511961302,-0.721500408,-0.462893305,High,2023,8,2
"Concord Biotech IPO (CONCORDBIO,543960)",0.014001937,-0.367570059,0.087179815,0.782283186,0.637409569,-0.259720464,0.686656648,-0.087147111,0.830881258,0.008164551,Low,2023,8,0
"SBFC Finance IPO (SBFC,543959)",-0.187800566,0.461382822,-0.439363175,-1.094459973,-1.014313345,0.705301534,-0.991828381,0.494505571,-0.902216594,-0.109693155,Low,2023,8,0
"Yatharth Hospital IPO (YATHARTH,543950)",-0.317648583,-0.158435982,-0.170606857,-0.427722272,-0.395976049,0.022999531,-0.532194339,-0.591678879,-0.432650766,-0.250152687,Low,2023,8,0
"Netweb Technologies India IPO (NETWEB,543945)",-0.338960615,0.739273308,1.579051621,0.121033038,0.703054967,1.80406929,0.783097719,1.677026247,0.168749001,-0.047705969,Low,2023,7,0
"Utkarsh Small Finance IPO (UTKARSHBNK,543942)",-0.389219413,1.080021982,-0.494211403,-1.182260823,-1.103252271,1.314109579,-1.078009764,0.913607102,-0.958505243,0.24872854,Low,2023,7,0
"Senco Gold IPO (SENCO,543936)",-0.425666633,0.515140897,-0.017031818,-0.381078071,-0.300684342,0.270958871,-0.277754065,0.281319477,0.050246584,0.462737248,Low,2023,7,0
"Cyient DLM IPO (CYIENTDLM,543933)",-0.353923158,0.415713737,0.158482512,-0.523754451,-0.343036212,0.88175324,-0.333156383,0.707951332,-0.077143514,0.55739638,Low,2023,7,0
"ideaForge Technology IPO (IDEAFORGE,543932)",-0.363403272,1.000648775,2.29756341,0.592962604,1.344685791,1.781557628,1.507431723,1.78219113,0.112460353,-0.399787217,Medium,2023,7,1
"HMA Agro Industries IPO (HMAAGRO,543929)",-0.396892512,-0.759380478,-0.362575656,0.354254045,0.133422321,-0.578194276,0.122373784,-0.466779352,-0.04603663,-0.408663842,Medium,2023,7,1
"IKIO Lighting IPO (IKIO,543923)",-0.348360161,0.355046317,-0.088334515,-0.46887892,-0.395976049,0.24083297,-0.355727698,0.335070417,-0.52597142,-0.361893727,Medium,2023,6,1
"Mankind Pharma IPO (MANKIND,543904)",1.078782531,-0.528507242,0.081694992,1.712423436,1.353156165,-0.433854794,1.507431723,-0.115450746,1.801119799,0.06313995,Low,2023,5,0
"Avalon Technologies IPO (AVALON,543896)",-0.249185357,-0.747246994,-0.543574808,-0.054568661,-0.251979692,-0.751335444,-0.265442439,-0.644391154,-0.32303603,-0.438501236,High,2023,4,2
"Udayshivakumar Infra IPO (USK,543861)",-0.55572566,-0.239157354,-0.52712034,-1.154823057,-1.094781897,0.141185759,-1.098529141,-1.015454405,-0.976280605,-0.453494526,High,2023,4,2
"Global Surfaces IPO (GSLSU,543829)",-0.521588043,-0.580917152,-0.483241758,-0.86672652,-0.855493834,-0.378899853,-0.82356949,-0.199322985,-0.722981688,-0.144229938,Low,2023,3,0
"Divgi TorqTransfer Systems IPO (DIVGIITTS,543812)",-0.42293501,-0.695005605,-0.422908707,0.367972927,0.12071676,-0.641756617,0.112114095,-0.512480635,0.565732099,0.106105797,Low,2023,3,0
"Sah Polymers IPO (SAH,543743)",-0.555610564,-0.492443831,-0.52712034,-1.072509761,-1.031254093,-0.295474281,-0.985672568,0.154602285,-0.857778188,0.09096332,Low,2023,1,0
"Radiant Cash Management IPO (RADIANTCMS,543732)",-0.482585681,-0.784658569,-0.549059631,-0.979221358,-0.967726288,-0.604016477,-0.946685752,-0.513259634,-0.900735314,-0.587464425,High,2023,1,2
"Elin Electronics IPO (ELIN,543725)",-0.398810787,-0.734607948,-0.560029277,-0.573142429,-0.65855764,-0.75100439,-0.659414475,-0.675810785,-0.807414661,-0.797818052,High,2022,12,2
"KFin Technologies IPO (KFINTECH,543720)",-0.005564466,-0.743033979,-0.598423037,-0.24663302,-0.421387171,-0.831781531,-0.40702614,-0.637380161,-0.25489714,-0.187643346,Low,2022,12,0
"Landmark Cars IPO (LANDMARK,543714)",-0.369269356,-0.73511351,-0.66424091,0.137495697,-0.150335205,-0.902627057,-0.19362462,-0.824080286,0.044321463,-0.186300664,Low,2022,12,0
"Abans Holdings IPO (AHL,543712)",-0.448455737,-0.76814355,-0.5655141,-0.510035568,-0.611970584,-0.767888137,-0.599908282,-0.615568186,-0.521527579,-0.303710809,Medium,2022,12,1
"Sula Vineyards IPO (SULA,543711)",-0.212603858,-0.747415515,-0.66424091,-0.271327009,-0.465856634,-0.943677736,-0.425493579,-0.637120495,-0.32155475,-0.254702889,Low,2022,12,0
"Uniparts India IPO (UNIPARTS,543689)",-0.260460976,-0.359986632,-0.357090833,0.332303832,0.118599166,-0.569255822,0.019776899,-0.653479477,-0.232677937,-0.560312397,High,2022,12,2
"Dharmaj Crop Guard IPO (DHARMAJ,543687)",-0.484691947,-0.188601171,-0.373545301,-0.600580194,-0.607735397,-0.27395578,-0.614271846,-0.326040177,-0.66817432,-0.483630294,High,2022,12,2
"Keystone Realtors IPO (RUSTOMJEE,543669)",-0.337425995,-0.752808174,-0.609392682,0.233527876,-0.055043499,-0.83509207,-0.021261854,-0.577137562,-0.237121778,-0.518092484,High,2022,11,2
"Inox Green Energy IPO (INOXGREEN,543667)",-0.297142226,-0.760560122,-0.587453391,-1.072509761,-1.054547621,-0.855617409,-1.03697101,-0.844074597,-0.928879638,-0.457597168,High,2022,11,2
"Kaynes Technology India IPO (KAYNES,543664)",-0.25194,-0.211014412,0.432723653,0.359741598,0.444708562,0.436154747,0.43632025,0.200563234,2.596567274,1.855472203,Low,2022,11,0
"Archean Chemical IPO (ACI,543657)",-0.020024421,-0.24353889,0.114603929,-0.134138181,-0.059278686,0.228252924,-0.236715312,-0.369923794,-0.203052333,-0.232175657,Low,2022,11,0
"Five Star Business IPO (FIVESTAR,543663)",0.030288089,-0.774884374,-0.592938214,0.049694848,-0.190569482,-0.818539377,-0.205936246,-0.694247098,0.131716996,-0.020703127,Low,2022,11,0
"Global Health IPO (MEDANTA,543654)",0.265130955,-0.625238072,-0.417423884,-0.328946316,-0.41503439,-0.509004019,-0.337260258,-0.141936716,0.305026781,0.746938425,Low,2022,11,0
"Bikaji Foods International IPO (BIKAJI,543653)",-0.243046878,-0.337236349,-0.466787289,-0.427722272,-0.510326097,-0.572897414,-0.497311398,-0.447044708,-0.220827695,0.104912301,Low,2022,11,0
"Fusion Micro Finance IPO (FUSION,543652)",-0.157495661,-0.736967237,-0.603907859,-0.241145467,-0.419269577,-0.840719986,-0.421389704,-0.704374086,-0.171945448,-0.08090007,Low,2022,11,0
"DCX Systems IPO (DCXINDIA,543650)",-0.389219413,0.389424522,-0.170606857,-0.682893491,-0.592912243,0.394773014,-0.571181155,0.359219389,-0.485976854,0.072538729,Low,2022,11,0
"Tracxn Technologies IPO (TRACXN,543638)",-0.462351719,-0.752808174,-0.587453391,-1.031353113,-1.022783719,-0.846016847,-0.987724506,-0.49845865,-0.893328913,-0.380691285,Medium,2022,10,1
"Electronics Mart India IPO (EMIL,543626)",-0.389219413,0.425487932,-0.417423884,-1.08897242,-1.001607784,0.934721858,-0.975412879,0.719895986,-0.717056567,1.432377957,Low,2022,10,0
"Harsha Engineers International IPO (HARSHA,543600)",-0.291387401,0.472168141,0.103634284,-0.345408975,-0.226568571,0.449396901,-0.236715312,0.299755789,-0.445982288,-0.362266694,Medium,2022,9,1
"Tamilnad Mercantile Bank IPO (TMB,543596)",-0.261999432,-0.738483922,-0.505181049,0.189627452,-0.048690718,-0.716243735,-0.11359905,-0.718655737,-0.272672503,-0.52913232,High,2022,9,2
"Dreamfolks Services IPO (DREAMFOLKS,543591)",-0.365394441,0.168494002,0.229785208,-0.356384082,-0.186334295,0.698349403,-0.115650988,0.810779217,-0.222308975,-0.006903333,Low,2022,9,0
"Syrma SGS Technology IPO (SYRMA,543573)",-0.258726856,-0.237135107,-0.318697073,-0.647224396,-0.622558551,-0.082275596,-0.622479597,-0.148688042,-0.203052333,0.640195148,Low,2022,8,0
"Aether Industries IPO (aether,543534)",-0.271053689,-0.681186915,-0.280303313,0.510649308,0.285889051,-0.520921958,0.284476861,-0.393553434,0.284288858,-0.225014682,Low,2022,6,0
"eMudhra IPO (EMUDHRA,543533)",-0.422677961,-0.740843211,-0.581968568,-0.54844844,-0.647969673,-0.771529729,-0.606064096,-0.502353646,-0.358586755,0.06657125,Low,2022,6,0
"Ethos Limited IPO (ETHOSLTD,543532)",-0.399854328,-0.769154673,-0.609392682,1.158180573,0.658585503,-0.823505185,0.54302101,-0.786428661,1.953691661,0.454308184,Low,2022,5,0
"Paradeep Phosphates IPO (PARADEEP,543530 )",-0.004900743,-0.75718971,-0.581968568,-1.135616622,-1.101134678,-0.771529729,-1.069802013,-0.520789959,-0.93776732,-0.112527707,Low,2022,5,0
"Delhivery IPO (DELHIVERY,543529)",1.427386762,-0.764604617,-0.636816796,0.085363943,-0.179981514,-0.872501156,-0.144378116,-0.600767202,-0.465238931,-0.671232908,High,2022,5,2
"Venus Pipes and IPO (VENUSPIPES,543528)",-0.517582685,-0.60518412,-0.472272112,-0.356384082,-0.45738626,-0.6016991,-0.472688146,-0.572723234,1.023447686,1.91813073,Low,2022,5,0
"Prudent Corporate Advisory IPO (PRUDENT,543527)",-0.374640525,-0.766121302,-0.483241758,0.477723989,0.182126971,-0.709953712,0.173672226,-0.562076912,0.922720631,0.305270401,Low,2022,5,0
"LIC IPO (LICI,543526)",7.305747864,-0.736967237,-0.724573961,1.352988708,0.764465177,-0.895343872,0.629202393,-0.854980584,-0.028261267,-0.725387778,High,2022,5,2
"Rainbow Childrens Medicare IPO (RAINBOW,543524)",0.02512793,-0.577209698,-0.636816796,0.236271653,-0.063513873,-0.865880079,-0.11359905,-0.797594315,0.592395143,0.251115531,Low,2022,5,0
